	adult	director	genre_ids	lead actors	movie_id	overview	popularity	poster_path	release_date	title	video	vote_average	vote_count
184	False	Conrad Vernon	[12, 16, 35, 14]	[Seth Rogen, Kristen Wiig, Jonah Hill]	223702	Sausage Party, the first R-rated CG animated movie, is about one sausage leading a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.	6.352649	/w90cORtNWQAd2k93aFlIBbpQYTC.jpg	2016-07-11	Sausage Party	False	5.8	1409
185	False	Ridley Scott	[28, 18, 12]	[Russell Crowe, Joaquin Phoenix, Connie Nielsen]	98	General Maximus' success in battle earns the favour of the Roman Empire's elderly Emperor at the expense of the Emperor's son. In a fit of jealous rage the son slays his father before turning his anger towards Maximus. Now reduced to a slave, and his family dead, Maximus must fight as a gladiator to gain his freedom – and his revenge.	6.33703	/6WBIzCgmDCYrqh64yDREGeDk9d3.jpg	2000-05-01	Gladiator	False	7.8	4329
186	False	Doug Sweetland	[16, 35, 10751]	[Andy Samberg, Katie Crown, Kelsey Grammer]	332210	Storks deliver babies…or at least they used to. Now they deliver packages for a global internet retail giant. Junior, the company’s top delivery stork, is about to be promoted when he accidentally activates the Baby Making Machine, producing an adorable and wholly unauthorized baby girl...	6.312816	/5qVD5TD1CiALR5vUsMzh2BschVU.jpg	2016-09-22	Storks	False	6.7	446
187	False	Elizabeth Banks	[35, 10402]	[Anna Kendrick, Rebel Wilson, Hailee Steinfeld]	254470	The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.	6.308756	/eqMkpgTFGSDySzPs5VlvVwhhjfL.jpg	2015-05-07	Pitch Perfect 2	False	6.8	1471
188	False	Christopher McQuarrie	[28, 12, 53]	[Tom Cruise, Rebecca Ferguson, Simon Pegg]	177677	Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.	6.301201	/z2sJd1OvAGZLxgjBdSnQoLCfn3M.jpg	2015-07-23	Mission: Impossible - Rogue Nation	False	7.1	2705
189	False	Len Wiseman	[14, 28, 878, 53]	[Kate Beckinsale, Scott Speedman, Tony Curran]	834	As the war between the vampires and the Lycans rages on, Selene, a former member of the Death Dealers (an elite vampire special forces unit that hunts werewolves), and Michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines.	6.286731	/fogihlu39MuYgL6pKObI4SQWPOY.jpg	2006-01-12	Underworld: Evolution	False	6.4	1250
190	False	James Bobin	[14]	[Johnny Depp, Mia Wasikowska, Anne Hathaway]	241259	"In the sequel to Tim Burton's ""Alice in Wonderland"", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter."	6.285181	/7rfucKCjV01OEsGr9grXa34Aywd.jpg	2016-05-25	Alice Through the Looking Glass	False	6.5	1050
191	False	Ridley Scott	[27, 28, 53, 878]	[Sigourney Weaver, Tom Skerritt, Veronica Cartwright]	348	During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.	6.283099	/2h00HrZs89SL3tXB4nbkiM7BKHs.jpg	1979-05-25	Alien	False	7.8	3427
192	False	Mike Newell	[12, 14, 10751]	[Daniel Radcliffe, Rupert Grint, Emma Watson]	674	Harry starts his fourth year at Hogwarts, competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure – but Voldemort lurks, awaiting his chance to destroy Harry and all that he stands for.	6.266032	/6sASqcdrEHXxUhA3nFpjrRecPD2.jpg	2005-11-05	Harry Potter and the Goblet of Fire	False	7.4	4171
193	False	Patrick Tatopoulos	[14, 28, 12, 878, 53]	[Bill Nighy, Michael Sheen, Rhona Mitra]	12437	A prequel to the first two Underworld films, this fantasy explains the origins of the feud between the Vampires and the Lycans. Aided by his secret love, Sonja, courageous Lucian leads the Lycans in battle against brutal Vampire king Viktor. Determined to break the king's enslavement of his people, Lucian faces off against the Death Dealer army in a bid for Lycan independence.	6.265617	/hZtK6fkusSKzGc0f7yQ2syo14Ze.jpg	2009-01-22	Underworld: Rise of the Lycans	False	6.2	1179
